video_id,title,upload_date,views,likes,duration,video_type,video_url
6zhDm1iSayQ,Student Routine | Matrix High School | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-12T13:30:27Z,5077,147,0:18,Short,https://www.youtube.com/watch?v=6zhDm1iSayQ
k9GTdL1O1wg,Back To School | Matrix High School | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-12T05:30:13Z,4843,129,0:20,Short,https://www.youtube.com/watch?v=k9GTdL1O1wg
361O96Q3jI8,Learning Beyond Books | Matrix High School | Top School in Sikar #matrixhighschool #mhs #shorts,2026-06-10T13:30:40Z,2161,66,0:33,Short,https://www.youtube.com/watch?v=361O96Q3jI8
HxThO3YkNCs,Basketball Diaries 🏀 | Top School in Sikar #matrixhighschool #shorts,2026-06-09T13:30:27Z,2020,66,0:43,Short,https://www.youtube.com/watch?v=HxThO3YkNCs
CRHJohpbKm8,Every Class Have a Student Like This,2026-06-09T05:30:27Z,4917,151,0:50,Short,https://www.youtube.com/watch?v=CRHJohpbKm8
dQft-09ouSQ,"Great Teachers, Greater Futures | Best School in Sikar #matrixhighschool #shorts",2026-06-08T06:00:16Z,2983,121,0:39,Short,https://www.youtube.com/watch?v=dQft-09ouSQ
VFClZL6pWdY,What's One Thing Every School Needs? 🎒| Top School in Sikar #matrixhighschool #shorts,2026-06-07T13:30:08Z,8529,163,0:35,Short,https://www.youtube.com/watch?v=VFClZL6pWdY
40T4b4mGQTs,Where Innovation Begins | Robotics Lab at Matrix High School #matrixhighschool #shorts,2026-06-07T05:30:23Z,1211,25,0:35,Short,https://www.youtube.com/watch?v=40T4b4mGQTs
XwPD0rvCIHU,Results Out! What's Your Story? | Best School in Sikar #matrixhighschool #shorts,2026-06-06T05:30:30Z,2769,79,0:35,Short,https://www.youtube.com/watch?v=XwPD0rvCIHU
Pab7oeoi7MY,A New Academic Journey Begins | Top School in Sikar #matrixhighschool #shorts,2026-06-05T05:30:25Z,2806,87,0:40,Short,https://www.youtube.com/watch?v=Pab7oeoi7MY
ELORh2tS1ac,Strong Hearts. Champion Spirit. | Matrix High School | Top School in Sikar #matrixhighschool #shorts,2026-06-04T13:30:07Z,2311,65,0:26,Short,https://www.youtube.com/watch?v=ELORh2tS1ac
qV1DuWFHzts,Table Tennis Excellence at Matrix High School | Top School in Sikar #matrixhighschool #shorts,2026-06-04T05:30:09Z,2714,59,0:13,Short,https://www.youtube.com/watch?v=qV1DuWFHzts
c0sKkmfBY90,Matrix Achieves the Double Crown Milestone | Best School in Sikar #matrixhighschool #shorts,2026-06-03T08:00:25Z,2854,73,0:28,Short,https://www.youtube.com/watch?v=c0sKkmfBY90
YvxSBXaAEbE,Every Parent's Superpower: Giving Lectures | Top School in Sikar #matrixhighschool #shorts,2026-06-02T13:30:54Z,1866,45,0:27,Short,https://www.youtube.com/watch?v=YvxSBXaAEbE
9d6aawjAeGY,Inside the Chemistry Lab Matrix High School | Best School in Sikar #matrixhighschool #shorts,2026-06-02T05:30:29Z,4762,104,0:21,Short,https://www.youtube.com/watch?v=9d6aawjAeGY
zBA-AARQrjQ,"One Team, One Goal, Endless Passion 🏆 | Football Spirit at #matrixhighschool #mhs #shorts",2026-06-01T05:30:14Z,2722,46,0:22,Short,https://www.youtube.com/watch?v=zBA-AARQrjQ
pZGhoj1O-m8,"Behind Every Confident Student, There’s a Great Teacher",2026-05-31T11:30:06Z,5766,134,0:32,Short,https://www.youtube.com/watch?v=pZGhoj1O-m8
8iidskv-t1U,"One Uniform, Countless Memories 💙 | The Pride of #matrixhighschool #mhs #shorts",2026-05-31T05:30:12Z,11624,123,0:08,Short,https://www.youtube.com/watch?v=8iidskv-t1U
QfSBmP7lNB0,"Physics Made Simple, Learning Made Powerful 🚀 | Science at #matrixhighschool #mhs #shorts",2026-05-30T11:30:15Z,8323,164,0:24,Short,https://www.youtube.com/watch?v=QfSBmP7lNB0
sbVu3hF2mXs,"Positive Vibes, Big Dreams & Endless Energy 🌟 | Life at  #matrixhighschool #mhs #shorts",2026-05-29T05:30:37Z,6108,102,0:12,Short,https://www.youtube.com/watch?v=sbVu3hF2mXs
pe9cmdSdLjs,"Dance, Smile & Shine ✨ | Celebrating Talent and Joy at #matrixhighschool #mhs #shorts",2026-05-28T05:30:02Z,7277,106,0:16,Short,https://www.youtube.com/watch?v=pe9cmdSdLjs
-_bQLgfEX0g,"Hostel Nights, Lifelong Friendships & Endless Memories ✨ | #matrixhighschool #mhs #shorts",2026-05-27T05:30:32Z,6686,139,0:22,Short,https://www.youtube.com/watch?v=-_bQLgfEX0g
rVSEiEAkTHM,Summer Vacation Is Almost Over! 🌟 Make These Last 20 Days Count #matrixhighschool #mha #shorts,2026-05-26T05:30:38Z,3960,119,0:32,Short,https://www.youtube.com/watch?v=rVSEiEAkTHM
Yo_DxwsnSDE,"Sunday Funday, Endless Smiles & Unforgettable Memories 🎉#matrixhighschool #mhs #shorts",2026-05-24T11:30:23Z,2361,49,0:23,Short,https://www.youtube.com/watch?v=Yo_DxwsnSDE
x0zroqi-QqQ,"Friends Today, Leaders Tomorrow 🌟 | Growing Together at Matrix High School #matrixhighschool #shorts",2026-05-24T05:30:22Z,5472,129,0:21,Short,https://www.youtube.com/watch?v=x0zroqi-QqQ
URatbIlXOWc,"Aim High, Stay Focused, Achieve Greatness ✨ | Archery Excellence at #matrixhighschool #mhs #shorts",2026-05-23T13:00:07Z,4266,105,0:20,Short,https://www.youtube.com/watch?v=URatbIlXOWc
QNI16BG6-x0,"Inspiring Excellence, Shaping Future Leaders 🌟 | Learning at #matrixhighschool #mhs #shorts",2026-05-22T11:30:29Z,12763,179,0:14,Short,https://www.youtube.com/watch?v=QNI16BG6-x0
89mCcFm_77E,Vacation Mode ON! 🎒✨ | Summer Break Begins at #matrixhighschool #mhs #shorts,2026-05-21T11:30:21Z,5667,201,0:48,Short,https://www.youtube.com/watch?v=89mCcFm_77E
LlXF9U8PEwA,"Strong Minds, Bright Futures ✨ | Prioritizing Mental Well-Being at #matrixhighschool #mhs #shorts",2026-05-21T05:30:31Z,4175,142,0:38,Short,https://www.youtube.com/watch?v=LlXF9U8PEwA
cmDZaQ4Ra28,Good Vibes. Great Friends. Unforgettable Memories 😎🔥 | Matrix High School #matrixhighschool #shorts,2026-05-20T11:30:13Z,9379,195,0:14,Short,https://www.youtube.com/watch?v=cmDZaQ4Ra28
4U8Chr-Zaz0,"Learning Beyond Books, Creating Future Innovators 🚀 | The Matrix Way of Education #mhs #shorts",2026-05-20T05:30:37Z,6853,167,0:24,Short,https://www.youtube.com/watch?v=4U8Chr-Zaz0
KELsfYMrtsk,"Unstoppable Energy, Unbreakable Team Spirit 🔥 | Volleyball Action at #matrixhighschool #mhs #shorts",2026-05-18T11:30:31Z,9491,183,0:22,Short,https://www.youtube.com/watch?v=KELsfYMrtsk
w_AFTk8vPHA,"Nurturing Dreams, Creating Future Leaders | The Matrix High School Journey #matrixhighschool #shorts",2026-05-18T05:30:33Z,5936,149,0:19,Short,https://www.youtube.com/watch?v=w_AFTk8vPHA
E1tIRkXNk4c,Education Changes Everything ✨ | The Foundation of Every Successful Future #matrixhighschool #mhs,2026-05-17T05:30:14Z,7416,121,0:12,Short,https://www.youtube.com/watch?v=E1tIRkXNk4c
lz9sPlQ70Wk,Kagaz Ke Do Pankh Lekar✨ | A Performance That Spoke Through Emotions #matrixhighschool #mhs #shorts,2026-05-16T05:30:12Z,3905,126,0:46,Short,https://www.youtube.com/watch?v=lz9sPlQ70Wk
X3Y_fX15bEg,"One School, Many Cultures, Endless Dreams | The Matrix High School Journey #matrixhighschool #shorts",2026-05-15T05:30:11Z,2736,61,1:00,Short,https://www.youtube.com/watch?v=X3Y_fX15bEg
mpZIQS_GWCM,"Dreams Achieved, Success Celebrated! | CBSE Class XII Achievers 2026 #matrixhighschool #shorts",2026-05-14T05:41:57Z,7280,144,0:14,Short,https://www.youtube.com/watch?v=mpZIQS_GWCM
LS7Or7WmQPY,Matrix High School Makes History! | Outstanding CBSE Class XII Results 2026 #matrixhighschool #mhs,2026-05-13T12:39:11Z,17262,284,0:30,Short,https://www.youtube.com/watch?v=LS7Or7WmQPY
gZ4nZRI-6g8,Every Page Holds a Dream ✨📖 | The Journey from Notes to Success #matrixhighschool #mhs #studentlife,2026-05-12T11:30:33Z,7293,115,0:16,Short,https://www.youtube.com/watch?v=gZ4nZRI-6g8
t1_8_k4-BwA,The Best School Memories Are Made Together ❤️😄 #matrixhighschool #mhs #schoolfun #shorts,2026-05-12T05:30:40Z,15792,163,0:13,Short,https://www.youtube.com/watch?v=t1_8_k4-BwA
7sV17IN6P1g,Make This Summer Count ☀️📚 | The Ultimate Summer Vacation Plan for Students #matrixhighschool #mhs,2026-05-11T11:30:11Z,7064,208,0:32,Short,https://www.youtube.com/watch?v=7sV17IN6P1g
AB9bmlBIAqA,"Holiday Mode ON 🌞✨ | Fun, Smiles & Endless Memories Await! #matrixhighschool #mhs #holidaymodeon",2026-05-10T11:30:26Z,12252,164,0:23,Short,https://www.youtube.com/watch?v=AB9bmlBIAqA
9yFXbxBJIpg,A Mother’s Love: The First Lesson of Life ❤️🌸 | Happy Mother’s Day #happymothersday #mothersday,2026-05-10T08:11:51Z,4044,148,0:41,Short,https://www.youtube.com/watch?v=9yFXbxBJIpg
qhOSnYMsqNE,"Holiday Fun, Learning & Growth 🌞✨ | Making Every Break Meaningful #matrixhighschool #mhs #shorts",2026-05-09T11:30:39Z,4597,134,1:14,Video,https://www.youtube.com/watch?v=qhOSnYMsqNE
BwM3qY0z0VI,"Fearless Spirit, Unstoppable Confidence 🥋| Champions in the Making #matrixhighschool #mhs #shorts",2026-05-08T11:30:20Z,6382,92,0:28,Short,https://www.youtube.com/watch?v=BwM3qY0z0VI
STtOolXLhIs,"Building Strong Minds, Shaping Brighter Futures 🌟📚 #matrixhighschool #mhs #brighterfutures",2026-05-07T11:14:46Z,3090,57,0:16,Short,https://www.youtube.com/watch?v=STtOolXLhIs
