video_id,title,upload_date,views,likes,duration,video_type,video_url
7kEwyTpjlp0,Bhai ki skills 🤯🫡🫡🫡,2026-05-17T13:21:30Z,1561598,66123,1:19,Video,https://www.youtube.com/watch?v=7kEwyTpjlp0
DclhD3sYP7M,Living Inside a Railway Station for 14 Days 🚂,2026-05-17T02:30:09Z,950718,52216,25:40,Video,https://www.youtube.com/watch?v=DclhD3sYP7M
EbtHYP8EjJw,Living Inside a Railway station for 14 Days 🙈🚂,2026-05-17T02:25:00Z,797890,34759,0:57,Short,https://www.youtube.com/watch?v=EbtHYP8EjJw
d9vTBuISFJA,#Ad  Japan me jail jana padta 🥲  #Airtel #AirtelInternationalRoaming,2026-05-08T04:35:32Z,206851,9729,1:13,Video,https://www.youtube.com/watch?v=d9vTBuISFJA
rp-s4rhXj5Q,Hampi with my Travel Tribe,2026-02-06T13:28:08Z,189901,8837,1:39,Video,https://www.youtube.com/watch?v=rp-s4rhXj5Q
Hd2OCUFDuSE,Dulhan ki tarah sajaya hua tha ♥️,2026-02-05T08:37:23Z,347434,11158,0:47,Short,https://www.youtube.com/watch?v=Hd2OCUFDuSE
MmUtiJfm7-0,Sand mafia se Panga 💀💀💀,2026-02-03T06:41:20Z,8155038,372956,1:44,Video,https://www.youtube.com/watch?v=MmUtiJfm7-0
0VI9klkeanQ,Hampi with my Travel Tribe 🙈,2026-01-30T14:30:29Z,120088,5657,2:01,Video,https://www.youtube.com/watch?v=0VI9klkeanQ
FS-dwJ4ALL4,Love hotel Japan 🏩,2026-01-24T06:35:06Z,11535286,172067,1:09,Video,https://www.youtube.com/watch?v=FS-dwJ4ALL4
ipc5DtPtHbU,Car ko Paint kardia 🚨😎🫶🏽,2026-01-22T12:47:57Z,606418,25165,1:08,Video,https://www.youtube.com/watch?v=ipc5DtPtHbU
QvXfF08jwtY,Live Music session with ⁨ @SukoonWithBawa   🎸 😍,2026-01-09T21:08:33Z,59169,2839,1:12:58,Video,https://www.youtube.com/watch?v=QvXfF08jwtY
9z2jjk5VBGI,My 4x4 Camper for London Trip is here! 😍 (Baljeet Pro Max 💪🏼🤯),2026-01-01T07:47:54Z,416970,27148,4:30,Video,https://www.youtube.com/watch?v=9z2jjk5VBGI
Pj5jDSCzFk0,Crazy Street Food of Japan 😦🇯🇵,2025-12-25T10:02:54Z,136534,3346,0:44,Short,https://www.youtube.com/watch?v=Pj5jDSCzFk0
VB3n7YByB2U,I TRIED VIRAL CRAZY FOODS OF JAPAN w/ @ajaypandey 🇯🇵,2025-12-25T02:30:30Z,1255675,30318,19:20,Video,https://www.youtube.com/watch?v=VB3n7YByB2U
